,precision,recall,f1,iou_th,lam3,threshold,record
5,0.4244604316546763,0.5754226267880365,0.48854540436102684,0.6,46,0.5,01-02-0011
6,0.320863309352518,0.43498049414824447,0.36930720397460676,0.7,46,0.5,01-02-0011
7,0.19952038369304556,0.270481144343303,0.22964394148495723,0.8,46,0.5,01-02-0011
8,0.0724220623501199,0.09817945383615084,0.08335633452939553,0.9,46,0.5,01-02-0011
0,0.610574478901881,0.7808842652795839,0.6853067047075605,0.1,47,0.5,01-02-0011
1,0.6059989832231825,0.7750325097529259,0.6801711840228245,0.2,47,0.5,01-02-0011
2,0.5907473309608541,0.7555266579973993,0.6630527817403709,0.3,47,0.5,01-02-0011
3,0.5602440264361973,0.716514954486346,0.6288159771754637,0.4,47,0.5,01-02-0011
4,0.5088967971530249,0.6508452535760728,0.5711840228245363,0.5,47,0.5,01-02-0011
5,0.42755465175394003,0.546814044213264,0.479885877318117,0.6,47,0.5,01-02-0011
6,0.3228266395526182,0.4128738621586476,0.362339514978602,0.7,47,0.5,01-02-0011
7,0.20132180986273512,0.2574772431729519,0.225962910128388,0.8,47,0.5,01-02-0011
8,0.07219115404168785,0.09232769830949285,0.08102710413694722,0.9,47,0.5,01-02-0011
0,0.6295896328293736,0.7581274382314694,0.6879056047197639,0.1,48,0.5,01-02-0011
1,0.6247300215982722,0.7522756827048115,0.6825958702064897,0.2,48,0.5,01-02-0011
2,0.607451403887689,0.7314694408322496,0.663716814159292,0.3,48,0.5,01-02-0011
3,0.5777537796976242,0.6957087126137841,0.6312684365781711,0.4,48,0.5,01-02-0011
4,0.521598272138229,0.6280884265279584,0.5699115044247788,0.5,48,0.5,01-02-0011
5,0.43466522678185743,0.523407022106632,0.47492625368731567,0.6,48,0.5,01-02-0011
6,0.3250539956803456,0.3914174252275683,0.3551622418879056,0.7,48,0.5,01-02-0011
7,0.19870410367170627,0.23927178153446033,0.21710914454277286,0.8,48,0.5,01-02-0011
8,0.06911447084233262,0.08322496749024708,0.07551622418879057,0.9,48,0.5,01-02-0011
0,0.33790476190476193,0.7416387959866221,0.4642763674430778,0.1,45,0.5,01-02-0012
1,0.3299047619047619,0.7240802675585284,0.45328448050248626,0.2,45,0.5,01-02-0012
2,0.3100952380952381,0.6806020066889632,0.4260664747448312,0.3,45,0.5,01-02-0012
3,0.2815238095238095,0.6178929765886287,0.38680973567129023,0.4,45,0.5,01-02-0012
4,0.24076190476190476,0.5284280936454849,0.3308034545930385,0.5,45,0.5,01-02-0012
5,0.1961904761904762,0.4306020066889632,0.2695629416383146,0.6,45,0.5,01-02-0012
6,0.14323809523809525,0.31438127090301005,0.196807118555352,0.7,45,0.5,01-02-0012
7,0.08952380952380952,0.19648829431438128,0.123004449097095,0.8,45,0.5,01-02-0012
8,0.030857142857142857,0.0677257525083612,0.04239727819942423,0.9,45,0.5,01-02-0012
0,0.35193669304456476,0.7065217391304348,0.46983597442313035,0.1,46,0.5,01-02-0012
1,0.34360683048729695,0.689799331103679,0.4587155963302752,0.2,46,0.5,01-02-0012
2,0.324448146605581,0.6513377926421404,0.4331387267167084,0.3,46,0.5,01-02-0012
3,0.2936276551436901,0.5894648829431438,0.3919933277731443,0.4,46,0.5,01-02-0012
