,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,record,evaluation
2,0.46877054569362264,0.8488095238095238,0.6039813638288861,0.3,0.5799098938881972,0.6821714388479967,0.6268977386080875,01-02-0007,N2
3,0.4289940828402367,0.7767857142857143,0.5527318932655655,0.4,0.5799098938881972,0.6821714388479967,0.6268977386080875,01-02-0007,N2
4,0.373767258382643,0.6767857142857143,0.4815756035578145,0.5,0.5799098938881972,0.6821714388479967,0.6268977386080875,01-02-0007,N2
5,0.3037475345167653,0.55,0.39135959339263027,0.6,0.5799098938881972,0.6821714388479967,0.6268977386080875,01-02-0007,N2
6,0.22287968441814596,0.4035714285714286,0.28716645489199494,0.7,0.5799098938881972,0.6821714388479967,0.6268977386080875,01-02-0007,N2
7,0.11834319526627218,0.21428571428571427,0.15247776365946633,0.8,0.5799098938881972,0.6821714388479967,0.6268977386080875,01-02-0007,N2
8,0.035831689677843524,0.06488095238095239,0.04616687844133842,0.9,0.5799098938881972,0.6821714388479967,0.6268977386080875,01-02-0007,N2
0,0.615582191780822,0.8207762557077626,0.7035225048923679,0.1,0.7021087441152501,0.5523546616366064,0.6182931060558883,01-02-0009,N2
1,0.6065924657534246,0.8087899543378996,0.6932485322896282,0.2,0.7021087441152501,0.5523546616366064,0.6182931060558883,01-02-0009,N2
2,0.5732020547945206,0.764269406392694,0.6550880626223092,0.3,0.7021087441152501,0.5523546616366064,0.6182931060558883,01-02-0009,N2
3,0.5077054794520548,0.6769406392694064,0.5802348336594911,0.4,0.7021087441152501,0.5523546616366064,0.6182931060558883,01-02-0009,N2
4,0.4220890410958904,0.5627853881278538,0.4823874755381604,0.5,0.7021087441152501,0.5523546616366064,0.6182931060558883,01-02-0009,N2
5,0.3210616438356164,0.4280821917808219,0.36692759295499017,0.6,0.7021087441152501,0.5523546616366064,0.6182931060558883,01-02-0009,N2
6,0.2093321917808219,0.2791095890410959,0.23923679060665362,0.7,0.7021087441152501,0.5523546616366064,0.6182931060558883,01-02-0009,N2
7,0.10102739726027397,0.13470319634703196,0.11545988258317026,0.8,0.7021087441152501,0.5523546616366064,0.6182931060558883,01-02-0009,N2
8,0.025684931506849314,0.03424657534246575,0.029354207436399216,0.9,0.7021087441152501,0.5523546616366064,0.6182931060558883,01-02-0009,N2
